Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels]
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,20,216.0,69.698,0.924,0.496,0.908,0.489,28.588,10.903,16.584
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,21,162.0,56.349,0.923,-0.142,0.905,0.648,24.0,9.228,14.362
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,22,358.0,83.941,0.848,0.475,0.937,0.568,31.225,16.558,21.35
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,23,590.0,111.497,0.888,-1.172,0.946,0.54,42.68,19.596,27.408
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,24,346.0,76.184,0.781,0.877,0.94,0.602,27.714,17.306,20.989
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,25,430.0,83.012,0.246,-0.148,0.956,0.636,24.984,24.216,23.399
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,26,77.0,35.314,0.803,-0.149,0.917,0.658,13.52,8.06,9.901
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,27,306.0,80.391,0.882,1.147,0.919,0.494,30.439,14.337,19.739
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,28,352.0,78.77,0.799,1.48,0.939,0.618,28.611,17.212,21.17
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,29,440.0,87.255,0.429,0.859,0.942,0.582,26.593,24.027,23.669
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,30,316.0,77.941,0.85,0.564,0.929,0.557,29.082,15.337,20.059
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,31,106.0,47.42,0.923,-0.308,0.876,0.505,19.651,7.574,11.617
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,32,362.0,77.012,0.615,-0.463,0.948,0.605,25.469,20.075,21.469
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,33,421.0,86.426,0.568,0.445,0.946,0.601,27.169,22.369,23.152
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,34,270.0,80.361,0.924,0.954,0.925,0.375,32.159,12.278,18.541
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,35,428.0,91.497,0.83,0.907,0.941,0.531,33.28,18.541,23.344
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,36,186.0,60.87,0.9,1.367,0.916,0.596,24.628,10.739,15.389
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,37,107.0,45.835,0.9,-1.247,0.877,0.486,18.732,8.153,11.672
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,38,85.0,44.349,0.955,1.409,0.842,0.506,20.457,6.057,10.403
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,39,209.0,63.663,0.888,1.359,0.921,0.595,25.707,11.812,16.313
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,40,136.0,57.87,0.956,1.268,0.901,0.476,25.391,7.438,13.159
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,41,110.0,44.592,0.899,-1.288,0.902,0.55,18.694,8.198,11.835
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,42,3.0,1.0,1.0,1.571,1.0,1.0,3.266,0.0,1.954
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,43,12.0,10.0,0.994,1.324,0.667,0.4,11.349,1.281,3.909
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,part,0,38293.0,4122.076,0.14,1.379,0.767,0.74,275.509,272.787,220.808
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,1,82.0,34.692,0.825,1.473,0.932,0.732,14.07,7.955,10.218
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,2,78.0,38.314,0.93,-1.384,0.907,0.655,16.996,6.245,9.966
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,3,243.0,80.734,0.95,-1.36,0.897,0.482,33.46,10.45,17.59
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,4,165.0,55.349,0.879,1.565,0.922,0.652,22.246,10.609,14.494
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,5,102.0,45.456,0.924,0.914,0.927,0.455,19.106,7.319,11.396
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,6,190.0,72.284,0.959,-1.35,0.888,0.466,31.304,8.829,15.554
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,7,325.0,71.941,0.488,0.85,0.948,0.642,22.837,19.934,20.342
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,8,354.0,77.012,0.636,1.082,0.941,0.592,25.512,19.696,21.23
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,9,266.0,73.113,0.808,0.331,0.908,0.568,25.744,15.181,18.403
